time,delay,data_value,
214,2021-07-07 13:19:51.264454,582,
214,2021-07-07 13:19:51.312627,48173,
3,2021-07-07 13:19:51.312907,280,
8,2021-07-07 13:19:51.313486,579,
0,2021-07-07 13:19:51.364717,51231,
225,2021-07-07 13:19:51.365945,1228,
227,2021-07-07 13:19:51.372126,6181,
229,2021-07-07 13:19:51.414635,42509,
32,2021-07-07 13:19:51.416117,1482,
33,2021-07-07 13:19:51.417298,1181,
31,2021-07-07 13:19:51.464617,47319,
15,2021-07-07 13:19:51.465795,1178,
13,2021-07-07 13:19:51.467129,1334,
12,2021-07-07 13:19:51.515038,47909,
5,2021-07-07 13:19:51.516410,1372,
6,2021-07-07 13:19:51.518234,1824,
6,2021-07-07 13:19:51.564765,46531,
250,2021-07-07 13:19:51.566326,1561,
249,2021-07-07 13:19:51.567877,1551,
249,2021-07-07 13:19:51.614483,46606,
5,2021-07-07 13:19:51.616391,1908,
6,2021-07-07 13:19:51.617304,913,
5,2021-07-07 13:19:51.664361,47057,
4,2021-07-07 13:19:51.666028,1667,
5,2021-07-07 13:19:51.668538,2510,
5,2021-07-07 13:19:51.714670,46132,
234,2021-07-07 13:19:51.717374,2704,
236,2021-07-07 13:19:51.718072,698,
236,2021-07-07 13:19:51.763009,44937,
12,2021-07-07 13:19:51.763351,342,
12,2021-07-07 13:19:51.770523,7172,
14,2021-07-07 13:19:51.814630,44107,
226,2021-07-07 13:19:51.815681,1051,
225,2021-07-07 13:19:51.817775,2094,
225,2021-07-07 13:19:51.864998,47223,
22,2021-07-07 13:19:51.866451,1453,
23,2021-07-07 13:19:51.868239,1788,
23,2021-07-07 13:19:51.914526,46287,
230,2021-07-07 13:19:51.915767,1241,
231,2021-07-07 13:19:51.917581,1814,
230,2021-07-07 13:19:51.964686,47105,
217,2021-07-07 13:19:51.965968,1282,
218,2021-07-07 13:19:51.967439,1471,
219,2021-07-07 13:19:52.013821,46382,
23,2021-07-07 13:19:52.014297,476,
23,2021-07-07 13:19:52.015022,725,
23,2021-07-07 13:19:52.063945,48923,
208,2021-07-07 13:19:52.064722,777,
208,2021-07-07 13:19:52.065637,915,
209,2021-07-07 13:19:52.112964,47327,
47,2021-07-07 13:19:52.113297,333,
47,2021-07-07 13:19:52.113851,554,
47,2021-07-07 13:19:52.164497,50646,
32,2021-07-07 13:19:52.165590,1093,
33,2021-07-07 13:19:52.166955,1365,
34,2021-07-07 13:19:52.214435,47480,
239,2021-07-07 13:19:52.215804,1369,
238,2021-07-07 13:19:52.216993,1189,
237,2021-07-07 13:19:52.264496,47503,
41,2021-07-07 13:19:52.265763,1267,
42,2021-07-07 13:19:52.272111,6348,
42,2021-07-07 13:19:52.314705,42594,
175,2021-07-07 13:19:52.315805,1100,
176,2021-07-07 13:19:52.317246,1441,
177,2021-07-07 13:19:52.364412,47166,
248,2021-07-07 13:19:52.365876,1464,
246,2021-07-07 13:19:52.367230,1354,
245,2021-07-07 13:19:52.414448,47218,
238,2021-07-07 13:19:52.415792,1344,
238,2021-07-07 13:19:52.417255,1463,
238,2021-07-07 13:19:52.464456,47201,
217,2021-07-07 13:19:52.465728,1272,
216,2021-07-07 13:19:52.466931,1203,
214,2021-07-07 13:19:52.514423,47492,
37,2021-07-07 13:19:52.515787,1364,
34,2021-07-07 13:19:52.517059,1272,
31,2021-07-07 13:19:52.564400,47341,
20,2021-07-07 13:19:52.565571,1171,
19,2021-07-07 13:19:52.566800,1229,
18,2021-07-07 13:19:52.614317,47517,
71,2021-07-07 13:19:52.615565,1248,
72,2021-07-07 13:19:52.621929,6364,
72,2021-07-07 13:19:52.664450,42521,
244,2021-07-07 13:19:52.665644,1194,
245,2021-07-07 13:19:52.666899,1255,
244,2021-07-07 13:19:52.714324,47425,
36,2021-07-07 13:19:52.715657,1333,
38,2021-07-07 13:19:52.717084,1427,
40,2021-07-07 13:19:52.764281,47197,
31,2021-07-07 13:19:52.765640,1359,
31,2021-07-07 13:19:52.767046,1406,
32,2021-07-07 13:19:52.814313,47267,
253,2021-07-07 13:19:52.815761,1448,
254,2021-07-07 13:19:52.817078,1317,
253,2021-07-07 13:19:52.864490,47412,
211,2021-07-07 13:19:52.866064,1574,
210,2021-07-07 13:19:52.867434,1370,
209,2021-07-07 13:19:52.914533,47099,
197,2021-07-07 13:19:52.915933,1400,
197,2021-07-07 13:19:52.917305,1372,
196,2021-07-07 13:19:52.964684,47379,
35,2021-07-07 13:19:52.966187,1503,
34,2021-07-07 13:19:52.968358,2171,
34,2021-07-07 13:19:53.014595,46237,
166,2021-07-07 13:19:53.016020,1425,
166,2021-07-07 13:19:53.017731,1711,
165,2021-07-07 13:19:53.064890,47159,
252,2021-07-07 13:19:53.066065,1175,
250,2021-07-07 13:19:53.067490,1425,
250,2021-07-07 13:19:53.114078,46588,
3,2021-07-07 13:19:53.114994,916,
3,2021-07-07 13:19:53.121532,6538,
2,2021-07-07 13:19:53.164497,42965,
236,2021-07-07 13:19:53.165577,1080,
234,2021-07-07 13:19:53.166874,1297,
234,2021-07-07 13:19:53.213053,46179,
46,2021-07-07 13:19:53.213411,358,
45,2021-07-07 13:19:53.213970,559,
45,2021-07-07 13:19:53.264718,50748,
11,2021-07-07 13:19:53.266166,1448,
11,2021-07-07 13:19:53.267477,1311,
12,2021-07-07 13:19:53.314827,47350,
1,2021-07-07 13:19:53.315957,1130,
1,2021-07-07 13:19:53.317958,2001,
0,2021-07-07 13:19:53.364845,46887,
254,2021-07-07 13:19:53.366510,1665,
254,2021-07-07 13:19:53.368420,1910,
254,2021-07-07 13:19:53.413276,44856,
22,2021-07-07 13:19:53.413743,467,
20,2021-07-07 13:19:53.420716,6973,
19,2021-07-07 13:19:53.462734,42018,
182,2021-07-07 13:19:53.463185,451,
183,2021-07-07 13:19:53.463545,360,
184,2021-07-07 13:19:53.515031,51486,
246,2021-07-07 13:19:53.517875,2844,
247,2021-07-07 13:19:53.518585,710,
249,2021-07-07 13:19:53.563834,45249,
25,2021-07-07 13:19:53.564457,623,
26,2021-07-07 13:19:53.565252,795,
25,2021-07-07 13:19:53.615127,49875,
233,2021-07-07 13:19:53.616219,1092,
230,2021-07-07 13:19:53.618776,2557,
231,2021-07-07 13:19:53.665165,46389,
44,2021-07-07 13:19:53.666443,1278,
45,2021-07-07 13:19:53.667829,1386,
46,2021-07-07 13:19:53.715396,47567,
248,2021-07-07 13:19:53.716146,750,
248,2021-07-07 13:19:53.717210,1064,
248,2021-07-07 13:19:53.764743,47533,
240,2021-07-07 13:19:53.765728,985,
239,2021-07-07 13:19:53.767172,1444,
238,2021-07-07 13:19:53.814750,47578,
17,2021-07-07 13:19:53.816060,1310,
14,2021-07-07 13:19:53.817404,1344,
13,2021-07-07 13:19:53.864606,47202,
195,2021-07-07 13:19:53.865832,1226,
191,2021-07-07 13:19:53.867147,1315,
195,2021-07-07 13:19:53.914585,47438,
24,2021-07-07 13:19:53.915803,1218,
24,2021-07-07 13:19:53.917076,1273,
25,2021-07-07 13:19:53.964326,47250,
25,2021-07-07 13:19:53.965709,1383,
25,2021-07-07 13:19:53.967093,1384,
26,2021-07-07 13:19:54.014672,47579,
255,2021-07-07 13:19:54.015759,1087,
0,2021-07-07 13:19:54.017210,1451,
255,2021-07-07 13:19:54.064613,47403,
252,2021-07-07 13:19:54.065968,1355,
251,2021-07-07 13:19:54.067187,1219,
251,2021-07-07 13:19:54.114823,47636,
33,2021-07-07 13:19:54.116190,1367,
34,2021-07-07 13:19:54.117756,1566,
35,2021-07-07 13:19:54.164773,47017,
47,2021-07-07 13:19:54.165983,1210,
48,2021-07-07 13:19:54.167534,1551,
45,2021-07-07 13:19:54.214515,46981,
